File Name,GateNum,ANS,check,RunTime,All Iter,Conflic Num,Learnt Gate Count,LearnGate Len Limit,LearnGate Num Limit,Conflic Limit,Time Limit(s),MaxIter DeletClause,MaxVal ReduceAct
c432.aag,504,SAT,SAT,0.002000 s,60,2,2,100,10000,10000000000,1800,100000,10000000
ctrl_miter.aag,429,SAT,SAT,0.002000 s,35,12,10,100,10000,10000000000,1800,100000,10000000
int2float_miter.aag,469,SAT,SAT,0.002000 s,49,9,8,100,10000,10000000000,1800,100000,10000000
router_miter.aag,502,SAT,SAT,0.001000 s,20,5,5,100,10000,10000000000,1800,100000,10000000
priority_miter.aag,1825,SAT,SAT,0.004000 s,109,14,12,100,10000,10000000000,1800,100000,10000000
i2c_miter.aag,2878,SAT,SAT,0.007000 s,225,17,15,100,10000,10000000000,1800,100000,10000000
c7552.aag,3800,SAT,SAT,0.033000 s,1569,271,268,100,10000,10000000000,1800,100000,10000000
c6288.aag,4502,SAT,SAT,0.044000 s,1112,251,230,100,10000,10000000000,1800,100000,10000000
max_miter.aag,7100,SAT,SAT,0.775000 s,42765,1087,1078,100,10000,10000000000,1800,100000,10000000
square_miter.aag,33653,SAT,SAT,38.399000 s,54854,15126,6836,100,10000,10000000000,1800,100000,10000000
sqrt_miter.aag,49220,SAT,SAT,13.925000 s,43748,6672,3817,100,10000,10000000000,1800,100000,10000000
multiplier_miter.aag,53930,SAT,SAT,14.979000 s,76764,9949,7786,100,10000,10000000000,1800,100000,10000000
